,,n0,s0,beta,mlsq
Exotic forest,TER-AGUA-T-66,114,18,0.05119381490627057,0.08458557494929982
Exotic forest,TER-MNEG-T-62,240,22,0.024181863874822327,0.30729107851079046
Exotic forest,TER-MNEG-T-63,151,15,0.026406667186211246,0.546320150881276
Exotic forest,TER-TCHA-T-64,362,22,0.014039065695632907,0.1999330404460604
Exotic forest,TER-ACAR-T111,80,17,0.07914296623247699,0.15874635499721043
Exotic forest,TER-ACAR-T112,71,15,0.07822544481337868,0.17416157391574552
Exotic forest,TER-ACAR-T-25,260,21,0.020385250208087582,0.1485711480012548
Exotic forest,TER-ACAR-T-26,149,24,0.052855999494828,0.06489335038094118
Exotic forest,TER-ALT-T176,245,18,0.017822513354545582,0.3522307501945551
Exotic forest,TER-BISC-T-65,152,18,0.03410259767975105,0.0645733720246629
Exotic forest,TER-MASE-T167,320,22,0.016497447564239286,0.23375682922327262
Exotic forest,TER-POSA-T172,1241,28,0.004062349328142719,1.2658619178374215
Native forest,TER-MATE-T-13,219,37,0.05663873256978153,0.07366680051866648
Native forest,TER-MATE-T-14,359,24,0.015943373755976584,0.20734536847509785
Native forest,TER-MATE-T168,287,34,0.03437053857458398,0.5121633625359112
Native forest,TER-NFBF-T-03,188,20,0.02952240724052906,0.1312717076824054
Native forest,TER-NFBF-T-38,186,25,0.04091748833489563,0.10997634293011835
Native forest,TER-NFBF-TP39,103,21,0.07453665939363349,0.0669848829691648
Native forest,TER-NFBF-TP41,120,25,0.07701555498545974,0.0714776764123796
Native forest,TER-NFBF-TP42,91,19,0.0771813505921075,0.02230239012116078
Native forest,TER-NFBF-TY01,119,28,0.09258213399955383,0.07166698579105153
Native forest,TER-NFBF-TY02,135,19,0.043507651478450864,0.10640504500589482
Native forest,TER-NFBF-TY04,166,19,0.032595120864194825,0.13448303776232906
Native forest,TER-NFGM-T-23,165,24,0.04571311513514132,0.19751596156944715
Native forest,TER-NFGM-T-53,462,23,0.01086670058060731,0.12000874605714172
Native forest,TER-NFGM-T-54,425,26,0.01422712178014293,0.3882874588585048
Native forest,TER-NFGM-TY35,609,34,0.012676752765274326,0.2934269259684476
Native forest,TER-NFPG-T-22,241,32,0.0402507672844025,0.12104220995382894
Native forest,TER-NFPG-T-40,196,30,0.049166479085644754,0.04675846158523294
Native forest,TER-NFPG-T-44,308,27,0.022844604079066026,0.24170501827302043
Native forest,TER-NFPG-TY33,288,29,0.027530392155527116,0.33766100336069704
Native forest,TER-NFSB-T-07,157,20,0.03786691323017118,0.06667615383712981
Native forest,TER-NFSB-T-08,59,11,0.06324893609186677,0.19142599692354903
Native forest,TER-NFSB-T-09,231,18,0.019280311113102036,0.28992520898944907
Native forest,TER-NFSB-T-10,148,14,0.02446910321448546,0.022025114228081493
Native forest,TER-NFSB-T-12,201,18,0.023251334398244665,0.11443172970106402
Native forest,TER-NFSB-T164,95,15,0.05084595252276029,0.05352070664376747
Native forest,TER-NFSB-T-43,189,19,0.02727812122026521,0.10768575879443935
Native forest,TER-NFSB-T-46,159,24,0.04817659814680772,0.07554624327203548
Native forest,TER-NFSB-T-47,232,24,0.028517328246017316,0.22046636373075468
Native forest,TER-NFSB-T-57,256,30,0.033856005368314485,0.11149262025867121
Native forest,TER-NFSB-TE45,383,31,0.020562293577761192,0.10426338656268148
Native forest,TER-NFSB-TE48,660,32,0.010580899295856223,0.4374171180922455
Native forest,TER-NFSB-TE49,423,31,0.01803893444210203,0.11035263613761719
Native forest,TER-NFSB-TE50,295,25,0.021819111248653246,0.2008620060265905
Native forest,TER-NFSB-TY05,77,22,0.12541204634765935,0.032678712495346506
Native forest,TER-NFSB-TY06,129,28,0.08190965519441011,0.11512829668938758
Native forest,TER-NFSB-TY11,190,20,0.0290981611586261,0.057313697793238604
Native forest,TER-NFTB-T173,150,21,0.04326114927174782,0.058614500419069016
Native forest,TER-NFTB-T-51,142,19,0.040515501640536605,0.06349845737584006
Native forest,TER-NFTB-T-52,252,16,0.014497108357436214,0.08160505359972677
Native forest,TER-NFTB-T-55,282,23,0.020704130264357454,0.19279549342016003
Native forest,TER-NFTB-T-56,148,19,0.03823185080813417,0.04357321810072189
Native forest,TER-NFTB-TY15,194,31,0.0522804481503785,0.044919843728988954
Native forest,TER-NFTB-TY16,197,29,0.04652032605999634,0.09478202514038098
Native forest,TER-NFTB-TY18,375,31,0.02114549418048793,0.3079436883992035
Intensive pasture,TER-AGUA-T113,741,39,0.011758547487311581,0.13397392886332013
Intensive pasture,TER-AGUA-T114,818,34,0.008709918786157109,0.025631204402081192
Intensive pasture,TER-AGUA-T-71,876,50,0.013049059324506788,0.11100012687790435
Intensive pasture,TER-ALTA-T-80,731,44,0.013972645642302068,0.05356272320479563
Intensive pasture,TER-CINC-T-74,1027,45,0.009317347213865368,0.45660360161779096
Intensive pasture,TER-CINC-T-90,1368,40,0.005622206702844386,0.9062808592432857
Intensive pasture,TER-DOZE-T-89,859,43,0.011031246851498856,0.30749255352109367
Intensive pasture,TER-FETE-T-81,1220,45,0.007504797246979248,0.13901874045484233
Intensive pasture,TER-FTER-T-82,880,36,0.008540160892106987,0.4111774245695145
Intensive pasture,TER-FTER-T-88,939,31,0.006520141349953223,0.5711755526864638
Intensive pasture,TER-GRANJA_T169,1736,48,0.00525011264845,0.11149653334751823
Intensive pasture,TER-LAJE-T174,780,43,0.0124789111840163,0.10839104925080505
Intensive pasture,TER-PCPI-T-91,932,27,0.005522746401820895,0.9181089454519361
Intensive pasture,TER-PATE-T115,363,24,0.01571405200303195,0.035786677550236325
Intensive pasture,TER-PATE-T116,508,23,0.009622882728926311,0.11362908181301594
Intensive pasture,TER-PIMER-T175,996,46,0.00995888223418493,0.3099123333535209
Intensive pasture,TER-PVIT-T-68,200,18,0.02340888286135776,0.12587337398375373
Intensive pasture,TER-RTER-T-85,508,25,0.010738996145868651,0.37269326282602205
Intensive pasture,TER-SANT-T-87,1336,30,0.004048313560872125,1.1112720841096242
Intensive pasture,TER-SSEB-T-83,951,36,0.007747344681798871,0.27318864785096686
Intensive pasture,TER-SCUM-T-75,823,32,0.008004267132562732,0.6933513129239732
Intensive pasture,TER-SERCU-T170,981,38,0.007976069154898183,0.569263252697748
Intensive pasture,TER-VNOV-T-70,651,36,0.012525094323470187,0.07409758045306397
Intensive pasture,TER-ZIND-T-84,929,30,0.006339495901967157,0.37119351702112896
Semi-natural pasture,TER-BAGA-T-77,934,26,0.005247835114357182,0.9107838106228944
Semi-natural pasture,TER-BAGA-T-78,1353,30,0.003986129436492163,1.4222303487151229
Semi-natural pasture,TER-CA_T163,770,39,0.01119605704052215,0.20633605971046107
Semi-natural pasture,TER-GOLF-T-86,1093,36,0.006512118924091648,1.0081167324984293
Semi-natural pasture,TER-CVSB_T162,844,31,0.007449429722743513,1.2238820712624208
Semi-natural pasture,TER-MNEG-T-73,1007,33,0.006466057245652764,1.3883813279941144
Semi-natural pasture,TER-MNEG-T-76,379,19,0.010831584478350883,0.3292836014494658
Semi-natural pasture,TER-MNEG-T-79,915,25,0.005117615488978658,0.5459983538223218
Semi-natural pasture,TER-NFBF-T-61,268,19,0.017060399395448168,0.33870950467965466
Semi-natural pasture,TER-NFGM-T-69,632,47,0.018399967501974653,0.9901019861432028
Semi-natural pasture,TER-NFPG-T118,380,21,0.012379684927482697,0.6273744136650281
Semi-natural pasture,TER-NFPG-T-67,446,32,0.017546879406809348,0.6869528150494717
Semi-natural pasture,TER-NFTB-T117,310,18,0.013054748414687562,0.17191659818035568
Semi-natural pasture,TER-NFTB-T-28,512,24,0.010077309833285655,0.26579155255270615
Semi-natural pasture,TER-PB-T165,816,29,0.007139877288769461,0.6429664907726279
Semi-natural pasture,TER-SBAR-T-72,762,25,0.006429033143488252,1.722124781439278
