Land use,Site,s,z
Exotic forest - mono,TER-ACAR-T111,0.01306098637672992,0.02624703330153166
Exotic forest - mono,TER-ACAR-T112,0.022421760392238605,0.07508540678172407
Exotic forest - mono,TER-ACAR-T-25,0.00019773538294752524,0.005703892635130324
Exotic forest - mono,TER-ACAR-T-26,0.00449167069926423,0.01642393509531544
Exotic forest - mono,TER-AGUA-T-66,0.001409387572605542,0.008576803431996008
Exotic forest - mono,TER-ALT-T176,0.007454773502053862,0.015299870714609417
Exotic forest - mono,TER-BISC-T-65,0.0072045979752521526,0.03218359005568011
Exotic forest - mono,TER-MASE-T167,0.002364399808566879,0.03433896166239628
Exotic forest - mono,TER-MNEG-T-62,0.002152641823084139,0.015419430888969262
Exotic forest - mono,TER-MNEG-T-63,0.0026251814673390467,0.015542893063474691
Exotic forest - mono,TER-POSA-T172,0.014683619973829694,0.06727785482698126
Exotic forest - mono,TER-TCHA-T-64,0.0002441273253709479,0.012302326759001536
Native vegetation,TER-MATE-T-13,0.004448425148069725,0.028404645856767118
Native vegetation,TER-MATE-T-14,0.0032912285119645573,0.01600479384235608
Native vegetation,TER-MATE-T168,0.0067176333448344195,0.030685556921658457
Native vegetation,TER-NFBF-T-03,0.005066172165209456,0.031846044953030506
Native vegetation,TER-NFBF-T-38,0.0055508035601160586,0.03656874625241595
Native vegetation,TER-NFBF-TP39,0.0024055511518596895,0.02021697390547293
Native vegetation,TER-NFBF-TP41,0.00592575813366151,0.02499566125873064
Native vegetation,TER-NFBF-TP42,0.005398919402778376,0.09316174949497012
Native vegetation,TER-NFBF-TY01,0.012006362470604683,0.02476206429479043
Native vegetation,TER-NFBF-TY02,0.029431810246618346,0.04141793767449628
Native vegetation,TER-NFBF-TY04,0.0030717237776602003,0.011210524644953306
Native vegetation,TER-NFGM-T-23,0.003034708276704297,0.013544100889976941
Native vegetation,TER-NFGM-T-53,0.002828591507774297,0.016506210232194993
Native vegetation,TER-NFGM-T-54,0.003180108812589757,0.013164600735971832
Native vegetation,TER-NFGM-TY35,0.004283965039499958,0.016030974313259845
Native vegetation,TER-NFPG-T-22,0.0015733829161921145,0.005610502381103723
Native vegetation,TER-NFPG-T-40,0.0029747400638089564,0.019138793954680718
Native vegetation,TER-NFPG-T-44,0.001439274618603854,0.005591423071234131
Native vegetation,TER-NFPG-TY33,0.0004374349922522346,0.003929179098787728
Native vegetation,TER-NFSB-T-07,0.0036664914117703605,0.013841820345972181
Native vegetation,TER-NFSB-T-08,0.0001245772609128144,0.0015641881448763809
Native vegetation,TER-NFSB-T-09,0.0056157856956202306,0.02224004364189295
Native vegetation,TER-NFSB-T-10,0.0007740970867629853,0.002649136695531207
Native vegetation,TER-NFSB-T-12,0.0053197108214025615,0.01668062752829512
Native vegetation,TER-NFSB-T164,0.0027363698436105323,0.008440445925671456
Native vegetation,TER-NFSB-T-43,0.004519327503969451,0.021683526848396518
Native vegetation,TER-NFSB-T-46,0.006082184837883195,0.030870333808687374
Native vegetation,TER-NFSB-T-47,0.0037695403051123413,0.024164550719928596
Native vegetation,TER-NFSB-T-57,0.00215197356104206,0.03744228970890353
Native vegetation,TER-NFSB-TE45,0.008312599978268083,0.03294920763831187
Native vegetation,TER-NFSB-TE48,0.0034082725033013537,0.05577767654478303
Native vegetation,TER-NFSB-TE49,0.001076327686361749,0.008127683543930444
Native vegetation,TER-NFSB-TE50,0.005144921952447382,0.03807491925415588
Native vegetation,TER-NFSB-TY05,0.0004899988317557591,0.004256172957021136
Native vegetation,TER-NFSB-TY06,0.005182137885783809,0.015289308670217777
Native vegetation,TER-NFSB-TY11,0.00594155194479046,0.025330102929886227
Native vegetation,TER-NFTB-T173,0.0023804502803655304,0.030089865875807198
Native vegetation,TER-NFTB-T-51,0.006048964686099405,0.02710374436741771
Native vegetation,TER-NFTB-T-52,0.0024306062045527876,0.042419466885330735
Native vegetation,TER-NFTB-T-55,0.0012324394254915815,0.011546726525653106
Native vegetation,TER-NFTB-T-56,0.014099338211174697,0.03505561903032599
Native vegetation,TER-NFTB-TY15,0.009430556977706957,0.13051356331833158
Native vegetation,TER-NFTB-TY16,0.004161318511512949,0.08449059659556094
Native vegetation,TER-NFTB-TY18,0.0015358626834860243,0.006076314373982668
Pasture - intensive,TER-AGUA-T113,0.013854386222577912,0.03868105984353507
Pasture - intensive,TER-AGUA-T114,0.0050928037423736,0.01668955948261438
Pasture - intensive,TER-AGUA-T-71,0.0008371473874544573,0.0022637967637648463
Pasture - intensive,TER-ALTA-T-80,0.0014716599605264973,0.006621686365660696
Pasture - intensive,TER-CINC-T-74,0.002799811729990164,0.008141689347991105
Pasture - intensive,TER-CINC-T-90,0.004952623958653759,0.026246585392741283
Pasture - intensive,TER-DOZE-T-89,0.0025987425912312964,0.008309166633029264
Pasture - intensive,TER-FETE-T-81,0.0012386909015085173,0.0065054311446651
Pasture - intensive,TER-FTER-T-82,0.005104579903145128,0.015583787512728497
Pasture - intensive,TER-FTER-T-88,0.003291888696585953,0.014584170595074337
Pasture - intensive,TER-GRANJA_T169,0.0007981965652735656,0.005593765109836521
Pasture - intensive,TER-LAJE-T174,0.0015118520771180686,0.009410181682418733
Pasture - intensive,TER-PATE-T115,0.010253962017559124,0.09398614313456141
Pasture - intensive,TER-PATE-T116,0.01261926789147653,0.049642139427907274
Pasture - intensive,TER-PCPI-T-91,0.007673326650239555,0.026818359098652284
Pasture - intensive,TER-PIMER-T175,0.0014498824279169018,0.008524705476248359
Pasture - intensive,TER-PVIT-T-68,0.0029504055712515054,0.008810212249536275
Pasture - intensive,TER-RTER-T-85,0.001759212739571691,0.006927451430609551
Pasture - intensive,TER-SANT-T-87,0.007655029375833772,0.02874742982512235
Pasture - intensive,TER-SCUM-T-75,0.006167998721989309,0.026429187711340348
Pasture - intensive,TER-SERCU-T170,0.008354189817752801,0.030368699940641203
Pasture - intensive,TER-SSEB-T-83,0.0010769037634816895,0.006496636674523365
Pasture - intensive,TER-VNOV-T-70,0.0009962506093126207,0.005391206743330329
Pasture - intensive,TER-ZIND-T-84,0.003515772875950487,0.030844811231798122
Pasture - semi-natural,TER-BAGA-T-77,0.009448386339302535,0.03000649359066042
Pasture - semi-natural,TER-BAGA-T-78,0.00987733991462702,0.03545333226492971
Pasture - semi-natural,TER-CA_T163,0.005784685541839836,0.021302893546692243
Pasture - semi-natural,TER-CVSB_T162,0.010006133891120109,0.04343967909793264
Pasture - semi-natural,TER-GOLF-T-86,0.006640633327817247,0.022207325519289382
Pasture - semi-natural,TER-MNEG-T-73,0.014036252659707524,0.05101617889782929
Pasture - semi-natural,TER-MNEG-T-76,0.006907365013285249,0.02460172586104181
Pasture - semi-natural,TER-MNEG-T-79,0.0059976153840587115,0.025734320826590402
Pasture - semi-natural,TER-PB-T165,0.0024790058652330977,0.008185074641870951
Pasture - semi-natural,TER-SBAR-T-72,0.01360768738762133,0.06322543051829407
