Species,Sex,Body_length,Body_mass
Acorigone acoreensis,male,1.265,0.179101963
Acorigone acoreensis,male,1.206,0.160499586
Acorigone acoreensis,male,1.206,0.160499586
Acorigone acoreensis,male,1.176,0.151480144
Acorigone acoreensis,male,1.206,0.160499586
Acorigone acoreensis,female,1.265,0.179101963
Acorigone acoreensis,female,1.235,0.16949927
Acorigone acoreensis,female,1.265,0.179101963
Acorigone acoreensis,female,1.324,0.198863607
Acorigone acoreensis,female,1.265,0.179101963
Agyneta decora,male,1.75,0.377325241
Agyneta decora,male,1.636,0.323256267
Agyneta decora,male,1.682,0.344506147
Agyneta decora,male,1.864,0.436158463
Agyneta decora,male,1.727,0.36603592
Agyneta decora,female,1.932,0.473557644
Agyneta decora,female,1.636,0.323256267
Agyneta decora,female,1.977,0.499265793
Agyneta decora,female,1.705,0.355418216
Agyneta decora,female,1.932,0.473557644
Canariphantes acoreensis,male,1.853,0.430271382
Canariphantes acoreensis,male,1.912,0.462377497
Canariphantes acoreensis,male,2,0.512702422
Canariphantes acoreensis,male,1.765,0.384792282
Canariphantes acoreensis,male,1.676,0.341691075
Canariphantes acoreensis,female,3.088,1.389951224
Canariphantes acoreensis,female,2.618,0.951390471
Canariphantes acoreensis,female,2.471,0.833175176
Canariphantes acoreensis,female,3.029,1.3297305
Canariphantes acoreensis,female,3.176,1.482579915
Dysdera crocata,male,10.143,21.32350594
Dysdera crocata,male,9.071,16.49972713
Dysdera crocata,male,10.929,25.30935962
Dysdera crocata,male,8.5,14.2117105
Dysdera crocata,male,11.143,26.46167861
Dysdera crocata,female,9.643,18.98679378
Dysdera crocata,female,8.786,15.33363395
Dysdera crocata,female,10.5,23.0861296
Dysdera crocata,female,11.214,26.85039787
Dysdera crocata,female,8.5,14.2117105
Erigone atra,male,1.818,0.411839544
Erigone atra,male,1.75,0.377325241
Erigone atra,male,1.705,0.355418216
Erigone atra,male,1.591,0.303204213
Erigone atra,male,1.795,0.399974664
Erigone atra,female,2.045,0.539575652
Erigone atra,female,1.932,0.473557644
Erigone atra,female,2.159,0.611145426
Erigone atra,female,2.023,0.526340811
Erigone atra,female,1.795,0.399974664
Erigone autumnalis,male,1.341,0.204775018
Erigone autumnalis,male,1.205,0.160194189
Erigone autumnalis,male,1.227,0.166988904
Erigone autumnalis,male,1.136,0.139910126
Erigone autumnalis,male,1.295,0.189004388
Erigone autumnalis,female,1.318,0.196800538
Erigone autumnalis,female,1.455,0.24696416
Erigone autumnalis,female,1.477,0.255621934
Erigone autumnalis,female,1.386,0.220896521
Erigone autumnalis,female,1.477,0.255621934
Erigone dentipalpis,male,1.938,0.476941113
Erigone dentipalpis,female,2.34,0.735224731
Ero furcata,male,3.227,1.537810859
Ero furcata,male,3.182,1.489018526
Ero furcata,male,2.682,1.005638387
Ero furcata,male,3.045,1.345912828
Ero furcata,female,3.773,2.201777368
Ero furcata,female,3.455,1.798776584
Ero furcata,female,2,0.512702422
Ero furcata,female,3.455,1.798776584
Ero furcata,female,2.909,1.211870134
Gibbaranea occidentalis,male,4.706,3.656868247
Gibbaranea occidentalis,male,4.824,3.870826071
Gibbaranea occidentalis,male,5.471,5.167752144
Gibbaranea occidentalis,male,4.647,3.552458021
Gibbaranea occidentalis,male,4.588,3.449751771
Gibbaranea occidentalis,female,7.235,9.816832391
Gibbaranea occidentalis,female,6.353,7.283497081
Gibbaranea occidentalis,female,6.176,6.825970867
Gibbaranea occidentalis,female,5.294,4.79190741
Gibbaranea occidentalis,female,7.765,11.54689698
Macaroeris cata,male,4.235,2.870489342
Macaroeris cata,male,4.118,2.691660867
Macaroeris cata,male,4.647,3.552458021
Macaroeris cata,male,4.706,3.656868247
Macaroeris cata,male,5.353,4.915410235
Macaroeris cata,female,5.412,5.040689888
Macaroeris cata,female,5.588,5.425018046
Macaroeris cata,female,4.588,3.449751771
Macaroeris cata,female,4.353,3.057449401
Macaroeris cata,female,4.647,3.552458021
Mermessus bryantae,male,1.568,0.293234489
Mermessus bryantae,male,1.932,0.473557644
Mermessus bryantae,male,1.75,0.377325241
Mermessus bryantae,male,1.364,0.212928744
Metellina sp.,male,6.647,8.080701367
Metellina sp.,male,5.588,5.425018046
Metellina sp.,male,4.941,4.089774881
Metellina sp.,male,6.529,7.755118705
Metellina sp.,male,6.412,7.439737392
Metellina sp.,female,7.294,10.00160921
Metellina sp.,female,6.412,7.439737392
Metellina sp.,female,7.235,9.816832391
Metellina sp.,female,6.294,7.129125999
Metellina sp.,female,5.824,5.965526176
Minicia floresensis,male,1.794,0.399463238
Minicia floresensis,male,1.676,0.341691075
Minicia floresensis,male,1.676,0.341691075
Minicia floresensis,male,1.618,0.315148449
Minicia floresensis,male,1.735,0.36994069
Minicia floresensis,female,1.875,0.442090741
Minicia floresensis,female,1.969,0.49463935
Minicia floresensis,female,2.176,0.622250583
Minicia floresensis,female,2.088,0.565980819
Minicia floresensis,female,1.529,0.276757937
Minicia floresensis,female,1.559,0.289384442
Minicia floresensis,female,1.882,0.445889396
Neon acoreensis,female,1.765,0.384792282
Neon acoreensis,female,2.088,0.565980819
Neon acoreensis,female,2,0.512702422
Neon acoreensis,female,2.176,0.622250583
Neon acoreensis,female,1.882,0.445889396
Oedothorax fuscus,male,1.705,0.355418216
Oedothorax fuscus,male,1.614,0.313362486
Oedothorax fuscus,male,1.795,0.399974664
Oedothorax fuscus,male,1.455,0.24696416
Oedothorax fuscus,male,1.614,0.313362486
Oedothorax fuscus,female,2.818,1.126587709
Oedothorax fuscus,female,2.318,0.719450531
Oedothorax fuscus,female,2.545,0.891578643
Oedothorax fuscus,female,2.705,1.025549316
Oedothorax fuscus,female,2.591,0.92901276
Palliduphantes schmitzi,male,1.227,0.166988904
Palliduphantes schmitzi,male,1.545,0.283452504
Palliduphantes schmitzi,male,1.75,0.377325241
Palliduphantes schmitzi,male,1.795,0.399974664
Palliduphantes schmitzi,male,1.591,0.303204213
Palliduphantes schmitzi,female,1.545,0.283452504
Palliduphantes schmitzi,female,1.614,0.313362486
Palliduphantes schmitzi,female,1.795,0.399974664
Palliduphantes schmitzi,female,1.909,0.46071347
Palliduphantes schmitzi,female,1.682,0.344506147
Pardosa acorensis,male,4.647,3.552458021
Pardosa acorensis,male,5.353,4.915410235
Pardosa acorensis,male,6.412,7.439737392
Pardosa acorensis,male,6.353,7.283497081
Pardosa acorensis,male,6.176,6.825970867
Pardosa acorensis,female,6.412,7.439737392
Pardosa acorensis,female,5.647,5.557431768
Pardosa acorensis,female,6.706,8.246331843
Pardosa acorensis,female,6.941,8.924944264
Pardosa acorensis,female,6.529,7.755118705
Pisaura acoreensis,male,10.273,21.95621487
Pisaura acoreensis,male,9.909,20.21086889
Pisaura acoreensis,male,8.909,15.83097957
Pisaura acoreensis,male,8.545,14.38505096
Pisaura acoreensis,male,9.273,17.35554337
Pisaura acoreensis,female,7.273,9.935618232
Pisaura acoreensis,female,8.818,15.46216259
Pisaura acoreensis,female,11.455,28.19377525
Pisaura acoreensis,female,11.091,26.17901115
Pisaura acoreensis,female,12.091,31.91785949
Porrhomma borgesi,male,2.029,0.529931919
Porrhomma borgesi,male,2.059,0.548094533
Porrhomma borgesi,male,1.853,0.430271382
Porrhomma borgesi,male,1.941,0.478637948
Porrhomma borgesi,male,2,0.512702422
Porrhomma borgesi,female,1.941,0.478637948
Porrhomma borgesi,female,1.853,0.430271382
Porrhomma borgesi,female,1.853,0.430271382
Porrhomma borgesi,female,1.912,0.462377497
Porrhomma borgesi,female,1.794,0.399463238
Prinerigone vagans,male,2.455,0.820840421
Prinerigone vagans,male,1.227,0.166988904
Prinerigone vagans,male,1.818,0.411839544
Prinerigone vagans,male,1.636,0.323256267
Prinerigone vagans,male,1.909,0.46071347
Prinerigone vagans,female,2.795,1.10558755
Rugathodes acoreensis,male,1.824,0.414966958
Rugathodes acoreensis,male,2,0.512702422
Rugathodes acoreensis,male,1.765,0.384792282
Rugathodes acoreensis,male,1.529,0.276757937
Rugathodes acoreensis,male,1.676,0.341691075
Rugathodes acoreensis,female,1.941,0.478637948
Rugathodes acoreensis,female,1.941,0.478637948
Rugathodes acoreensis,female,2.118,0.584825759
Rugathodes acoreensis,female,2.147,0.60337439
Rugathodes acoreensis,female,2.147,0.60337439
Sancus acoreensis,male,2.909,1.211870134
Sancus acoreensis,male,2.909,1.211870134
Sancus acoreensis,male,2.773,1.085708903
Sancus acoreensis,male,2.864,1.169258506
Sancus acoreensis,male,2.818,1.126587709
Sancus acoreensis,female,3.364,1.691849959
Sancus acoreensis,female,3.773,2.201777368
Sancus acoreensis,female,4.045,2.583362995
Sancus acoreensis,female,3.773,2.201777368
Sancus acoreensis,female,3.682,2.081751408
Tenuiphantes miguelensis,male,1.912,0.462377497
Tenuiphantes miguelensis,male,1.853,0.430271382
Tenuiphantes miguelensis,male,1.794,0.399463238
Tenuiphantes miguelensis,male,1.824,0.414966958
Tenuiphantes miguelensis,male,1.882,0.445889396
Tenuiphantes miguelensis,female,2.235,0.661670392
Tenuiphantes miguelensis,female,2.441,0.810132622
Tenuiphantes miguelensis,female,2.353,0.744636711
Tenuiphantes miguelensis,female,2.294,0.702462227
Tenuiphantes miguelensis,female,1.971,0.495793682
Tenuiphantes tenuis,male,2.074,0.557305582
Tenuiphantes tenuis,male,2.407,0.784457829
Tenuiphantes tenuis,male,2.259,0.678097534
Tenuiphantes tenuis,male,2.296,0.703869171
Tenuiphantes tenuis,male,2.333,0.730184717
Tenuiphantes tenuis,female,2.815,1.123835905
Tenuiphantes tenuis,female,2.667,0.992771595
Tenuiphantes tenuis,female,2.556,0.900451258
Tenuiphantes tenuis,female,2.704,1.02467904
Tenuiphantes tenuis,female,2.593,0.930660062
Walckenaeria grandis,male,2.037,0.534741514
Walckenaeria grandis,male,2.037,0.534741514
Walckenaeria grandis,male,2,0.512702422
Walckenaeria grandis,male,1.852,0.429738431
Walckenaeria grandis,female,2.259,0.678097534
Walckenaeria grandis,female,2.481,0.840937171
Walckenaeria grandis,female,2.37,0.757046753
Walckenaeria grandis,female,2.407,0.784457829
Walckenaeria grandis,female,2.333,0.730184717
Xysticus cor,male,4.037,2.571647195
Xysticus cor,male,4.074,2.626084953
Xysticus cor,male,3.741,2.159137383
Xysticus cor,male,4.037,2.571647195
Xysticus cor,male,3.593,1.968023452
Xysticus cor,male,4,2.517852233
Xysticus cor,male,3.704,2.110420827
Xysticus cor,female,5.185,4.568395061
Xysticus cor,female,5.889,6.119499553
Xysticus cor,female,5.333,4.873346091
